id,Category,Price_tier,Neighborhood,Opening_hours,Average_rating,Good_for_kids
1,Italian,Expensive,Manhattan,8am-10pm,2.7,true
2,Chinese,Cheap,Queens,8am-10pm,1.4,true
3,Mexican,Expensive,Queens,8am-10pm,4.9,false
4,American,Cheap,Queens,8am-10pm,4.9,false
5,American,Medium,Staten Island,8am-10pm,1.6,false
6,Mexican,Medium,Queens,8am-10pm,4.2,true
7,Chinese,Cheap,Brooklyn,8am-10pm,4.0,true
8,Chinese,Medium,Manhattan,8am-10pm,3.5,false
9,Chinese,Cheap,Staten Island,8am-10pm,3.0,true
10,American,Medium,Manhattan,8am-10pm,4.3,true
11,Italian,Expensive,Queens,8am-10pm,1.9,false
12,American,Medium,Manhattan,8am-10pm,4.6,true
13,Italian,Cheap,Queens,8am-10pm,3.3,false
14,Italian,Expensive,Queens,8am-10pm,1.9,false
15,Japanese,Medium,Bronx,8am-10pm,3.5,false
16,American,Expensive,Brooklyn,8am-10pm,3.1,true
17,Italian,Medium,Brooklyn,8am-10pm,3.7,true
18,American,Expensive,Queens,8am-10pm,1.9,false
19,Chinese,Cheap,Manhattan,8am-10pm,3.5,true
20,Mexican,Expensive,Queens,8am-10pm,4.3,true
21,Mexican,Expensive,Queens,8am-10pm,2.3,false
22,American,Medium,Manhattan,8am-10pm,4.6,true
23,Italian,Cheap,Bronx,8am-10pm,1.8,true
24,Mexican,Medium,Brooklyn,8am-10pm,1.0,false
25,Italian,Cheap,Brooklyn,8am-10pm,4.2,true
26,Chinese,Medium,Queens,8am-10pm,4.2,false
27,Mexican,Expensive,Staten Island,8am-10pm,4.7,false
28,Mexican,Medium,Queens,8am-10pm,3.6,false
29,Japanese,Medium,Staten Island,8am-10pm,4.7,false
30,Chinese,Expensive,Staten Island,8am-10pm,4.3,true
31,Chinese,Medium,Staten Island,8am-10pm,1.6,true
32,Chinese,Medium,Manhattan,8am-10pm,4.9,true
33,Mexican,Medium,Manhattan,8am-10pm,2.6,false
34,Chinese,Medium,Queens,8am-10pm,2.2,true
35,Chinese,Cheap,Manhattan,8am-10pm,1.9,false
36,American,Expensive,Staten Island,8am-10pm,3.3,false
37,Japanese,Medium,Bronx,8am-10pm,4.6,true
38,Chinese,Medium,Staten Island,8am-10pm,4.5,false
39,Japanese,Expensive,Brooklyn,8am-10pm,3.9,true
40,Italian,Expensive,Bronx,8am-10pm,1.5,false
41,Italian,Expensive,Bronx,8am-10pm,2.9,true
42,Chinese,Medium,Brooklyn,8am-10pm,2.3,true
43,Japanese,Medium,Bronx,8am-10pm,4.3,false
44,Japanese,Medium,Brooklyn,8am-10pm,1.4,true
45,Chinese,Cheap,Queens,8am-10pm,5.0,false
46,Chinese,Expensive,Manhattan,8am-10pm,1.9,false
47,Chinese,Expensive,Bronx,8am-10pm,1.4,true
48,American,Expensive,Manhattan,8am-10pm,1.8,true
49,Mexican,Medium,Brooklyn,8am-10pm,1.5,true
50,Chinese,Expensive,Bronx,8am-10pm,4.4,false
51,Japanese,Medium,Queens,8am-10pm,2.5,true
52,Chinese,Cheap,Staten Island,8am-10pm,3.7,false
53,Chinese,Medium,Bronx,8am-10pm,3.4,true
54,Mexican,Medium,Staten Island,8am-10pm,2.0,false
55,Italian,Medium,Staten Island,8am-10pm,4.5,true
56,Italian,Expensive,Queens,8am-10pm,2.6,false
57,Japanese,Medium,Brooklyn,8am-10pm,4.9,true
58,Chinese,Medium,Bronx,8am-10pm,4.8,true
59,Chinese,Expensive,Brooklyn,8am-10pm,3.3,true
60,Japanese,Medium,Staten Island,8am-10pm,3.5,false
61,Mexican,Expensive,Manhattan,8am-10pm,1.7,true
62,Chinese,Expensive,Brooklyn,8am-10pm,3.5,true
63,Italian,Medium,Staten Island,8am-10pm,4.4,true
64,Chinese,Medium,Manhattan,8am-10pm,3.2,false
